ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Median AIC
"(3, 0, 3)",3697.764442156349,3654.590756780246,3789.534751586403,3717.881696377225,3567.830841422599,3481.31046556567,3552.5455431006785,3670.3809439982556,3748.7506672415093,3591.0279197243726,3717.7528368923513,3726.2098527025983,3684.0726930773026
"(3, 0, 4)",3699.396758754656,3659.75990642165,3765.5385203892392,3705.979885177965,3551.485033088767,3462.6342720985895,3553.3883425995946,3672.2346381991147,3739.2233293488553,3553.008355289944,3682.050839825934,3714.479389737737,3677.1427390125245
"(3, 1, 0)",3950.3450231828288,3729.052406408514,3943.564837463393,3910.6282044154254,3620.604305316965,3642.239763969405,3707.379023994353,3958.241005705753,4040.1373279085747,3638.4922832707225,4017.3100722087806,4036.336340246023,3927.096520939409
"(3, 1, 1)",3950.383996135348,3723.375751683274,3943.645729907349,3908.3646082705914,3611.6504686685134,3627.058221410064,3707.4746020124817,3958.8806974486793,4040.1636633289963,3597.2394592971905,3875.053335075713,4034.8618644161684,3891.7089716731525
"(3, 1, 2)",3968.346460289741,3726.6227478169985,3941.637556275213,3922.6819740314804,3612.205100971045,3630.050822410948,3713.0071067237036,3971.6700188671084,4088.7425704956977,3601.871476855953,4004.604084370705,3986.397253271568,3932.1597651533466
"(3, 1, 3)",3964.393667818751,3759.784809473305,3932.868312565247,3922.5228115337272,3624.4224723382104,3637.507807342543,3710.5786747005905,3900.7215889879426,4040.3291854543236,3617.082515049806,4051.3788699389725,3942.8853469031346,3911.6222002608347
"(3, 1, 4)",3947.8906329065767,3732.5810737591123,3941.902851978527,3905.597002601678,3628.3458768030423,3627.5584771682325,3717.1757193060885,3875.64778180926,4049.3389663461644,3603.6018533451133,3995.593020854172,3954.9343435382016,3890.6223922054687
"(3, 2, 0)",3703.9697813538437,3653.292419264547,3766.589229383728,3685.9349383998897,3573.620030463685,3458.9661862565076,3546.043899760427,3686.8678093976905,3752.197614999307,3563.0745621052483,3681.818617837668,3724.1398505074767,3683.876778118779
"(3, 2, 1)",3704.2626440424424,3649.500409553546,3761.0506228530357,3679.8709192751257,3571.5004807285777,3460.918950814762,3548.009739907108,3688.8210636450376,3754.1744786418676,3565.065624557252,3683.7575003947054,3726.1068464203213,3681.8142098349153
"(3, 2, 2)",3704.099941168579,3652.668807214438,3761.6066812790114,3682.1018264863133,3576.4042587087442,3462.8521467081428,3550.150383662058,3693.8654117839033,3749.4888377727493,3557.938763503126,3687.3982814528126,3721.7308443550514,3684.750053969563
"(3, 2, 3)",3718.8740552203144,3657.0392555998906,3762.0384707594135,3685.6896606053815,3579.733088626984,3467.052219810327,3552.828909805677,3703.3995087035773,3759.2879335194702,3560.2237073909155,3689.2111508833214,3730.7663057445316,3687.4504057443514
"(3, 2, 4)",3702.5716906704547,3650.838789822885,3772.570890640196,3692.7246651375963,3581.748000920016,3464.6121526654333,3551.6167558770876,3697.440371530379,3758.876326206692,3567.116038459999,3689.5235008832287,3725.0949074282453,3691.1240830104125
