Date,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
12-10-2015,3605.0,3549.0,3938.0,6292.0,16800,5842,230,45,840
13-10-2015,3535.0,10932.0,6449.0,9390.0,26751,3374,146,157,1648
14-10-2015,4478.0,9148.0,5133.0,10884.0,32414,7830,386,98,1399
15-10-2015,7673.0,16530.0,12666.0,18134.0,35369,13234,327,248,2389
16-10-2015,8483.0,17621.0,11343.0,12387.0,29654,5032,794,223,2244
17-10-2015,7461.0,19947.0,4831.0,4998.0,12830,1600,143,44,550
18-10-2015,3450.0,11081.0,6074.0,4351.0,7249,1722,224,98,488
19-10-2015,597.0,1854.0,1525.0,2606.0,1667,757,309,66,624
20-10-2015,1994.0,5680.0,3638.0,640.0,2162,401,728,38,488
21-10-2015,5779.0,18311.0,16981.0,4626.0,24720,4116,1625,23,166
22-10-2015,4737.0,16521.0,34270.0,19330.0,46723,13046,4272,389,1153
23-10-2015,4248.0,20214.0,25010.0,21500.0,40375,13722,2583,506,3102
24-10-2015,5902.0,20067.0,21803.0,7560.0,28885,5371,1130,108,700
25-10-2015,6057.0,22955.0,32629.0,17084.0,34182,6945,2545,385,1603
26-10-2015,5577.0,21875.0,14995.0,4497.0,8706,1196,3057,401,2218
27-10-2015,5414.0,10604.0,10125.0,5260.0,17967,5345,3009,201,911
28-10-2015,3373.0,10754.0,9793.0,17877.0,40289,11869,593,145,1351
29-10-2015,1157.0,4419.0,4594.0,6229.0,9554,1798,1132,141,1680
30-10-2015,4827.0,14299.0,5851.0,3070.0,9665,2084,365,73,495
31-10-2015,6626.0,25697.0,15736.0,6565.0,16054,4285,1759,211,1328
01-11-2015,10265.0,31269.0,22569.0,8046.0,4707,1413,2592,464,2162
02-11-2015,8627.0,31907.0,26103.0,9030.0,4714,317,2466,350,1626
03-11-2015,7291.0,17487.0,14099.0,1699.0,1630,315,1582,175,479
04-11-2015,7726.0,20712.0,5234.0,900.0,3447,384,1531,74,135
05-11-2015,2720.0,5621.0,3225.0,2561.0,6494,1602,289,13,37
06-11-2015,739.0,6843.0,4612.0,3223.0,10192,3691,479,32,364
07-11-2015,1188.0,14089.0,17591.0,10570.0,30357,11362,2566,251,1286
08-11-2015,1891.0,13020.0,19921.0,19117.0,30710,13031,1835,645,4356
09-11-2015,4273.0,17586.0,31564.0,23462.0,52486,17638,1395,350,2346
10-11-2015,297.0,6967.0,26651.0,20693.0,44985,18736,816,549,3420
11-11-2015,2097.0,18969.0,20480.0,15601.0,28779,15544,1537,394,2505
12-11-2015,175.0,3919.0,21201.0,20854.0,36627,13049,788,467,3306
13-11-2015,2128.0,14902.0,25595.0,19384.0,44288,15696,1773,345,1986
14-11-2015,1163.0,4171.0,27101.0,26018.0,41032,18049,1700,465,3019
15-11-2015,277.0,2152.0,15226.0,8524.0,4233,3066,518,255,1586
16-11-2015,285.0,8063.0,19217.0,13313.0,34261,9090,623,155,905
17-11-2015,2652.0,9612.0,20345.0,9540.0,19005,8098,2020,157,1547
18-11-2015,606.0,3208.0,7908.0,16028.0,36906,17431,863,288,2995
19-11-2015,326.0,5442.0,17365.0,21606.0,34960,18026,906,347,3654
20-11-2015,1521.0,14702.0,10246.0,3605.0,8007,6751,1221,96,1546
21-11-2015,6523.0,28119.0,14215.0,10059.0,13771,7386,3417,104,151
22-11-2015,4506.0,17853.0,17517.0,20418.0,34581,11027,1874,15,1033
23-11-2015,2364.0,9387.0,12169.0,8341.0,13709,6618,551,17,197
24-11-2015,5797.0,19257.0,28289.0,22408.0,47595,18202,2160,457,1980
25-11-2015,2553.0,12906.0,14758.0,9171.0,12099,6023,3845,656,2843
26-11-2015,7707.0,29316.0,14143.0,2846.0,15822,2026,3454,336,1186
27-11-2015,8758.0,34122.0,41987.0,23078.0,55614,13266,4937,822,2492
28-11-2015,4137.0,14115.0,33588.0,21475.0,47090,15082,4808,660,2199
29-11-2015,7575.0,26486.0,33420.0,25459.0,53192,18301,3370,575,2865
30-11-2015,2338.0,13777.0,30137.0,24313.0,49918,16510,3883,778,4817
01-12-2015,3953.0,32873.0,28997.0,22925.0,33186,13084,3025,635,3510
02-12-2015,5379.0,22387.0,20806.0,11652.0,37198,10435,2459,299,1550
03-12-2015,8666.0,28697.0,18361.0,11122.0,23584,10968,2352,270,1631
04-12-2015,6463.0,21679.0,33608.0,27465.0,64351,18565,3560,706,3905
05-12-2015,6841.0,29244.0,39448.0,29847.0,69276,16366,4295,940,5052
06-12-2015,7863.0,31716.0,38540.0,30031.0,67195,20884,4869,867,5190
07-12-2015,8873.0,36931.0,24758.0,15591.0,21840,4673,4499,610,3826
08-12-2015,5161.0,23382.0,22371.0,11028.0,36700,7705,2543,187,677
09-12-2015,5355.0,27320.0,35599.0,17632.0,46207,11214,4245,556,2083
10-12-2015,3913.0,28416.0,41279.0,28793.0,63630,19123,4466,881,3612
11-12-2015,2493.0,24422.0,24773.0,20142.0,39406,15950,2662,613,3721
12-12-2015,5110.0,25438.0,21167.0,15120.0,22724,11225,495,518,3040
13-12-2015,2766.0,8249.0,10905.0,5236.0,10726,7478,661,98,848
14-12-2015,6679.0,16893.0,8480.0,5831.0,11887,2550,1222,250,731
15-12-2015,8027.0,28163.0,7470.0,1771.0,11831,2291,1749,134,198
16-12-2015,3641.0,19171.0,11244.0,6773.0,26889,7090,3224,321,835
17-12-2015,2356.0,5368.0,13418.0,9793.0,31220,8665,1398,159,902
18-12-2015,2465.0,15328.0,35843.0,20614.0,48226,12359,2446,440,2446
19-12-2015,4914.0,28261.0,30815.0,21503.0,54100,13192,3176,719,4272
