ARIMA,AIC 2015-04-02 00:00:00,AIC 2017-09-08 00:00:00,AIC 2019-04-01 00:00:00,AIC 2018-12-30 00:00:00,AIC 2018-10-12 00:00:00,AIC 2014-11-07 00:00:00,AIC 2015-12-05 00:00:00,AIC 2015-02-27 00:00:00,AIC 2017-04-10 00:00:00,AIC 2018-10-06 00:00:00,AIC 2017-01-06 00:00:00,AIC 2017-02-22 00:00:00,AIC 2018-02-24 00:00:00,AIC 2016-08-16 00:00:00,AIC 2018-12-02 00:00:00,AIC 2015-09-03 00:00:00,AIC 2015-01-09 00:00:00,AIC 2017-03-26 00:00:00,AIC 2014-08-28 00:00:00,AIC 2019-03-08 00:00:00,AIC 2016-09-06 00:00:00,AIC 2016-12-03 00:00:00,AIC 2017-11-26 00:00:00,AIC 2018-10-09 00:00:00,AIC 2018-10-19 00:00:00,AIC 2014-07-05 00:00:00,AIC 2018-05-26 00:00:00,AIC 2016-12-29 00:00:00,AIC 2015-12-28 00:00:00,AIC 2018-07-17 00:00:00,Median AIC
"(1, 1, 3)",64.238,-2.842,-41.535,-21.848,202.06,-80.669,-56.626,68.097,-44.485,31.217,-27.722,-3.828,219.885,-170.897,-9.671,-182.213,67.988,38.82,76.429,116.755,-27.189,-128.919,153.657,108.166,57.626,103.533,37.713,-167.052,-46.218,76.713,14.188
"(1, 1, 4)",65.561,-2.216,-39.584,-20.786,203.773,-81.434,-57.19,69.919,-42.788,33.21,-26.234,-3.095,220.072,-168.903,-7.903,-181.031,69.064,37.175,78.041,118.747,-25.227,-126.499,154.182,110.15,57.896,104.866,38.41,-165.249,-46.589,67.883,15.497
"(1, 1, 5)",66.479,-1.013,-39.437,-20.646,201.147,-79.778,-55.19,71.104,-43.879,32.428,-24.009,-1.938,221.331,-167.325,-9.754,-178.453,70.134,38.739,78.933,120.199,-23.96,-124.96,155.144,110.815,53.565,103.033,38.94,-163.839,-42.94,69.623,15.707
"(2, 0, 0)",64.124,-1.099,-37.337,-24.467,200.996,-88.719,-65.298,60.45,-46.131,35.94,-32.514,56.682,213.877,-179.831,-16.358,-190.999,64.817,36.46,77.951,115.837,-37.151,-133.526,148.562,108.989,51.944,96.287,35.071,-174.107,-43.769,69.876,35.506
"(2, 0, 1)",66.126,0.512,-35.613,-22.648,202.993,-86.859,-63.355,62.442,-44.547,37.925,-30.525,-2.836,215.871,-178.045,-14.789,-189.112,66.805,38.371,78.306,117.834,-35.152,-131.507,150.514,110.985,53.521,97.625,37.061,-173.373,-41.822,71.839,18.786
"(2, 0, 2)",67.705,1.915,-33.756,-22.648,201.799,-84.973,-61.528,64.437,-42.644,35.696,-29.201,-1.613,217.523,-176.294,-12.83,-187.066,68.711,40.195,76.447,117.341,-36.312,-129.495,151.988,110.546,55.488,99.607,39.03,-171.42,-44.207,73.751,18.806
"(2, 0, 3)",66.515,1.499,-40.072,-20.625,203.448,-83.646,-62.882,66.44,-40.666,33.291,-27.557,-0.306,217.709,-174.744,-10.832,-185.054,70.699,41.071,82.171,115.821,-34.322,-127.676,151.629,107.687,56.762,101.006,37.656,-169.42,-41.907,68.805,17.395
"(2, 0, 4)",67.122,-2.562,-37.692,-20.807,205.596,-81.576,-61.904,67.82,-44.164,35.745,-26.511,-2.424,219.3,-173.211,-8.746,-183.714,72.119,42.978,83.144,117.791,-33.317,-125.783,153.408,109.664,56.151,100.289,40.746,-167.995,-43.161,67.559,16.661
"(2, 0, 5)",69.127,-1.368,-38.157,-20.74,201.112,-80.98,-64.632,68.293,-44.78,33.414,-24.559,-1.253,221.228,-171.387,-10.084,-181.803,73.324,37.865,83.199,119.371,-32.862,-123.773,155.576,110.428,53.035,97.135,31.999,-165.976,-42.124,69.301,15.373
"(2, 1, 0)",75.273,7.198,-32.791,-22.582,208.422,-64.972,-60.016,73.34,-40.537,39.707,-25.683,2.708,236.377,-162.312,-7.973,-184.614,79.62,47.442,86.891,127.791,-8.476,-129.5,159.676,115.107,59.393,116.455,49.994,-170.955,-37.384,76.26,23.452
"(2, 1, 1)",62.451,9.079,-43.663,-20.666,201.321,-85.251,-62.671,65.901,-47.458,41.115,-29.309,4.516,217.302,-172.91,-6.007,-182.705,64.825,34.061,74.863,116.887,-29.432,-127.476,150.999,108.654,54.947,100.521,33.992,-169.063,-46.185,78.247,21.535
