Month,Weekday,Hour,Factor
4,7,22,1.03451
4,7,23,1.00725
5,1,0,0.898666
5,1,1,0.843192
5,1,2,0.815176
5,1,3,0.802765
5,1,4,0.810223
5,1,5,0.911286
5,1,6,1.02433
5,1,7,1.12655
5,1,8,1.15037
5,1,9,1.14264
5,1,10,1.12731
5,1,11,1.09239
5,1,12,1.06983
5,1,13,1.0587
5,1,14,1.03773
5,1,15,1.02061
5,1,16,1.01744
5,1,17,1.04212
5,1,18,1.05708
5,1,19,1.07126
5,1,20,1.0604
5,1,21,1.06196
5,1,22,1.0385
5,1,23,0.967752
5,2,0,0.900818
5,2,1,0.875934
5,2,2,0.850388
5,2,3,0.83661
5,2,4,0.85295
5,2,5,0.922731
5,2,6,1.01678
5,2,7,1.09627
5,2,8,1.14759
5,2,9,1.11685
5,2,10,1.09317
5,2,11,1.0865
5,2,12,1.065
5,2,13,1.05132
5,2,14,1.03468
5,2,15,1.01094
5,2,16,1.00877
5,2,17,1.02417
5,2,18,1.02911
5,2,19,1.03543
5,2,20,1.01807
5,2,21,1.0186
5,2,22,0.996281
5,2,23,0.919255
5,3,0,0.896437
5,3,1,0.86383
5,3,2,0.834847
5,3,3,0.819901
5,3,4,0.848335
5,3,5,0.915773
5,3,6,1.01768
5,3,7,1.10051
5,3,8,1.12886
5,3,9,1.11485
5,3,10,1.09498
5,3,11,1.0775
5,3,12,1.04807
5,3,13,1.04255
5,3,14,1.02782
5,3,15,0.999224
5,3,16,1.00882
5,3,17,1.0319
5,3,18,1.04729
5,3,19,1.04817
5,3,20,1.03209
5,3,21,1.03063
5,3,22,0.996146
5,3,23,0.938691
5,4,0,0.914365
5,4,1,0.866069
5,4,2,0.83425
5,4,3,0.815245
5,4,4,0.82294
5,4,5,0.908662
5,4,6,1.00695
5,4,7,1.08718
5,4,8,1.15218
5,4,9,1.12433
5,4,10,1.08698
5,4,11,1.07017
5,4,12,1.04847
5,4,13,1.03491
5,4,14,1.01997
5,4,15,1.01406
5,4,16,1.01309
5,4,17,1.02971
5,4,18,1.04604
5,4,19,1.05684
5,4,20,1.04
5,4,21,1.03287
5,4,22,1.00863
5,4,23,0.965972
5,5,0,0.918596
5,5,1,0.885548
5,5,2,0.855031
5,5,3,0.846384
5,5,4,0.876481
5,5,5,0.944934
5,5,6,1.02987
5,5,7,1.10312
5,5,8,1.14502
5,5,9,1.12297
5,5,10,1.10315
5,5,11,1.07614
5,5,12,1.06066
5,5,13,1.02552
5,5,14,0.998194
5,5,15,0.980746
5,5,16,0.992341
5,5,17,1.00626
5,5,18,1.03609
5,5,19,1.03738
5,5,20,1.01838
5,5,21,1.01485
5,5,22,1.00733
5,5,23,0.982401
5,6,0,1.03513
5,6,1,0.980571
5,6,2,0.94685
5,6,3,0.9226
5,6,4,0.90945
5,6,5,0.92271
5,6,6,0.961321
5,6,7,1.001
5,6,8,1.05716
5,6,9,1.06367
5,6,10,1.05049
5,6,11,1.02798
5,6,12,1.00592
5,6,13,0.980911
5,6,14,0.963918
5,6,15,0.958126
5,6,16,0.960954
5,6,17,1.00598
5,6,18,1.05517
5,6,19,1.064
5,6,20,1.05169
5,6,21,1.05467
5,6,22,1.05417
5,6,23,1.00398
5,7,0,1.02604
5,7,1,0.963377
5,7,2,0.919912
5,7,3,0.880461
5,7,4,0.830027
5,7,5,0.776758
5,7,6,0.878676
5,7,7,0.920636
5,7,8,0.999411
5,7,9,1.0399
5,7,10,1.07414
5,7,11,1.07454
5,7,12,1.02591
5,7,13,1.00035
5,7,14,0.977209
5,7,15,0.966401
5,7,16,0.994194
5,7,17,1.02383
5,7,18,1.09839
5,7,19,1.12918
5,7,20,1.13461
5,7,21,1.1499
5,7,22,1.13434
5,7,23,1.07423
6,1,0,0.909857
6,1,1,0.863669
6,1,2,0.786395
6,1,3,0.747366
6,1,4,0.747229
6,1,5,0.870377
6,1,6,0.994488
6,1,7,1.07286
6,1,8,1.11264
6,1,9,1.11256
6,1,10,1.10847
6,1,11,1.10624
6,1,12,1.0686
6,1,13,1.06392
6,1,14,1.05627
6,1,15,1.04866
6,1,16,1.02593
6,1,17,1.05501
6,1,18,1.0591
6,1,19,1.05882
6,1,20,1.02835
6,1,21,1.02147
6,1,22,1.00662
6,1,23,0.944162
6,2,0,0.897863
6,2,1,0.841253
6,2,2,0.822894
6,2,3,0.790361
6,2,4,0.807055
6,2,5,0.850017
6,2,6,0.998917
6,2,7,1.07883
6,2,8,1.12555
6,2,9,1.12664
6,2,10,1.1428
6,2,11,1.1208
6,2,12,1.09854
6,2,13,1.09486
6,2,14,1.06688
6,2,15,1.05489
6,2,16,1.02191
6,2,17,1.02754
6,2,18,1.04536
6,2,19,1.05256
6,2,20,1.02716
6,2,21,1.00371
6,2,22,0.97301
6,2,23,0.942723
6,3,0,0.906495
6,3,1,0.873171
6,3,2,0.854669
6,3,3,0.825701
6,3,4,0.832801
6,3,5,0.897409
6,3,6,0.987954
6,3,7,1.07719
6,3,8,1.11596
6,3,9,1.11824
6,3,10,1.12651
6,3,11,1.11107
6,3,12,1.07732
6,3,13,1.06427
6,3,14,1.05164
6,3,15,1.0223
6,3,16,1.00301
6,3,17,1.01651
6,3,18,1.03052
6,3,19,1.04508
6,3,20,1.01914
6,3,21,1.00753
6,3,22,0.994411
6,3,23,0.934517
6,4,0,0.902579
6,4,1,0.882829
6,4,2,0.859863
6,4,3,0.838945
6,4,4,0.834361
6,4,5,0.901345
6,4,6,1.00403
6,4,7,1.092
6,4,8,1.12777
6,4,9,1.12222
6,4,10,1.09276
6,4,11,1.08197
6,4,12,1.06982
6,4,13,1.05834
6,4,14,1.04213
6,4,15,1.0302
6,4,16,1.01485
6,4,17,1.02575
6,4,18,1.05137
6,4,19,1.05814
6,4,20,1.03064
6,4,21,1.00157
6,4,22,0.983266
6,4,23,0.930148
6,5,0,0.923628
6,5,1,0.889331
6,5,2,0.869532
6,5,3,0.850167
6,5,4,0.859433
6,5,5,0.913381
6,5,6,1.00227
6,5,7,1.0846
6,5,8,1.13072
6,5,9,1.11379
6,5,10,1.10977
6,5,11,1.08531
6,5,12,1.06168
6,5,13,1.04138
6,5,14,1.02505
6,5,15,1.00006
6,5,16,0.99496
6,5,17,1.00949
6,5,18,1.02092
6,5,19,1.01836
6,5,20,0.992696
6,5,21,0.981008
6,5,22,0.979728
6,5,23,0.9531
6,6,0,1.00059
6,6,1,0.976503
6,6,2,0.929115
6,6,3,0.910406
6,6,4,0.886502
6,6,5,0.906394
6,6,6,0.923577
6,6,7,0.983817
6,6,8,1.02464
6,6,9,1.04931
6,6,10,1.04723
6,6,11,1.04621
6,6,12,1.03051
6,6,13,1.01154
6,6,14,1.00151
6,6,15,0.991961
6,6,16,0.995811
6,6,17,1.01902
6,6,18,1.04839
6,6,19,1.05932
6,6,20,1.05269
6,6,21,1.03904
6,6,22,1.04479
6,6,23,1.00465
6,7,0,1.01643
6,7,1,0.965558
6,7,2,0.922422
6,7,3,0.885169
6,7,4,0.845118
6,7,5,0.822574
6,7,6,0.842593
6,7,7,0.936771
6,7,8,0.986996
6,7,9,1.02169
6,7,10,1.03746
6,7,11,1.04574
6,7,12,1.04409
6,7,13,1.02063
6,7,14,0.99717
6,7,15,0.984165
6,7,16,1.00901
6,7,17,1.03121
6,7,18,1.08195
6,7,19,1.10491
6,7,20,1.0867
6,7,21,1.08789
6,7,22,1.10522
6,7,23,1.04467
7,1,0,0.943692
7,1,1,0.908973
7,1,2,0.880535
7,1,3,0.868495
7,1,4,0.865292
7,1,5,0.921226
7,1,6,0.996917
7,1,7,1.0311
7,1,8,1.05468
7,1,9,1.06077
7,1,10,1.05872
7,1,11,1.0579
7,1,12,1.04402
7,1,13,1.038
7,1,14,1.03053
7,1,15,1.0264
7,1,16,1.02586
7,1,17,1.03294
7,1,18,1.03546
7,1,19,1.03345
7,1,20,1.0241
7,1,21,1.02206
7,1,22,1.00704
7,1,23,0.976293
7,2,0,0.946379
7,2,1,0.919583
7,2,2,0.893388
7,2,3,0.885481
7,2,4,0.877428
7,2,5,0.920747
7,2,6,0.984264
7,2,7,1.02887
7,2,8,1.05527
7,2,9,1.06048
7,2,10,1.0658
7,2,11,1.06241
7,2,12,1.05843
7,2,13,1.04542
7,2,14,1.03511
7,2,15,1.02609
7,2,16,1.0214
7,2,17,1.03416
7,2,18,1.03774
7,2,19,1.03767
7,2,20,1.02607
7,2,21,1.02289
7,2,22,1.01519
7,2,23,0.983718
7,3,0,0.945631
7,3,1,0.912409
7,3,2,0.888292
7,3,3,0.878162
7,3,4,0.878663
