Period,mape,smape,mae,rmse
324.000,6.861,6.541,2.807,3.354
325.000,7.298,6.957,2.982,3.454
326.000,3.467,3.359,1.413,1.969
327.000,3.150,3.146,1.278,1.652
328.000,4.093,4.156,1.611,2.067
329.000,4.401,4.463,1.686,2.371
330.000,4.942,5.043,1.876,2.489
331.000,6.103,6.274,2.358,3.150
332.000,7.006,7.421,2.638,3.423
333.000,9.516,10.191,3.596,4.182
334.000,8.908,9.508,3.342,3.941
335.000,8.305,8.840,3.079,3.712
336.000,8.449,8.998,3.098,3.719
337.000,9.986,10.678,3.697,4.217
338.000,9.389,9.992,3.477,3.961
339.000,10.315,10.985,3.828,4.175
340.000,9.882,10.481,3.671,3.963
341.000,8.311,8.742,3.095,3.393
342.000,5.099,5.294,1.917,2.338
343.000,3.630,3.746,1.376,1.841
344.000,4.366,4.487,1.650,2.085
345.000,4.181,4.083,1.537,1.991
346.000,4.326,4.279,1.582,2.151
347.000,4.913,4.783,1.791,2.513
348.000,5.483,5.335,2.009,2.635
349.000,6.064,5.858,2.207,2.816
350.000,7.110,6.750,2.555,3.192
351.000,9.713,9.093,3.412,4.010
352.000,8.742,8.204,3.001,3.660
