Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14
2639.65,154.301,1530.02,1551.68,-953.673,-415.489,-610.844,3006.99,-1160.98,-1907.11,780.02,2815.97,-1360.11,2193.52
2714.19,310.093,1852.7,860.632,-507.924,-221.358,-392.935,3207.54,-913.124,-1650.08,1149.7,3200.71,-1007.57,2294.91
2677.93,504.221,2100.03,1278.24,-85.8959,-94.7797,-337.976,3361.3,-593.066,-1492.57,1334.76,3466.19,-654.412,2191.71
2771.99,637.713,2273.9,1223.7,254.848,-76.0838,-168.685,3657.92,-319.227,-1468.53,1482.54,3517.61,-465.939,2218.11
2880.88,729.819,2310.23,1331.43,372.707,-156.371,-95.3374,3744.68,-185.343,-1478.35,1656.9,3606.45,-367.822,2136.6
2784.07,489.297,2008.78,734.135,345.692,-332.63,-207.098,3697.83,-783.464,-1743.44,1374.13,3518.74,-352.348,1781.09
1870.54,-506.284,2932.55,1717.23,365.672,-329.929,-1997.65,3746.76,-2331.15,-3103.77,189.004,3057.74,-450.535,3039.95
3254.28,-76.124,2355.7,2418.09,534.753,-9.40144,532.899,5280.46,-2271.82,-2620.86,1581.29,2730.94,90.3729,1916.66
3508.96,879.928,2035.74,3369.75,188.647,-447.711,316.028,6845.01,-1792.54,-2702.71,914.424,4061.88,0.29508,1694.68
3239.84,873.118,2388.94,3141.42,-67.4002,-930.458,-876.058,7318.24,-2243.36,-2225.99,1199.22,4892.12,-327.365,1842.48
3337.34,1117.39,2458.94,3236.21,266.361,-1373.52,-740.568,6760.98,-1973.34,-2135.16,1000.51,5847,-915.241,1910.19
3280,1229.64,2554.54,3116.91,207.959,-1728.17,-1367.55,6214.52,-1899.6,-2147.57,1240.61,4624.48,-1463.43,1930.13
2948.95,735.627,2599.46,2440.68,512.638,-1698.93,-1789.73,5600.31,-2650.79,-1925.57,1736.4,2957.57,-1910.06,2026.45
3091.62,685.055,2368.8,1427.74,274.13,-1577.63,-1750.79,5631.32,-3402.57,-1883.29,2093.85,1796.25,-1877.73,2130.47
3509.62,1029.6,2195.13,177.236,417.565,-1868.16,-1484.26,4856.05,-2799.62,-1341.73,2162.51,824.143,-1909.69,1842.65
3578.08,1299.91,2019.41,-672.045,674.507,-2627.14,-1023.38,4400.37,-3051.83,-867.835,1857.96,2664.62,-1819.59,1662.37
3701.54,2729.08,1693.2,-846.253,721.179,-3448.6,192.636,4607.97,-2486.68,-651.663,1755.85,4464.74,-236.448,1065.13
