Date,Wind DK
2017-04-21,75855
2017-04-22,75699
2017-04-23,67669
2017-04-24,71537
2017-04-25,31255
2017-04-26,9876
2017-04-27,19982
2017-04-28,20135
2017-04-29,16565
2017-04-30,35815
2017-05-01,68042
2017-05-02,55830
2017-05-03,48769
2017-05-04,65962
2017-05-05,41345
2017-05-06,4273
2017-05-07,9739
2017-05-08,55950
2017-05-09,16925
2017-05-10,19076
2017-05-11,9683
2017-05-12,65111
2017-05-13,28405
2017-05-14,7483
2017-05-15,7876
2017-05-16,35309
2017-05-17,16012
2017-05-18,39450
2017-05-19,4235
2017-05-20,27687
2017-05-21,16118
2017-05-22,2653
2017-05-23,16389
2017-05-24,52574
2017-05-25,42913
2017-05-26,14723
2017-05-27,11938
2017-05-28,45775
2017-05-29,14260
2017-05-30,16656
2017-05-31,89483
2017-06-01,51673
2017-06-02,8690
2017-06-03,12182
2017-06-04,23561
2017-06-05,33186
2017-06-06,54210
2017-06-07,61853
2017-06-08,54871
2017-06-09,20953
2017-06-10,20030
2017-06-11,32293
2017-06-12,73265
2017-06-13,77924
2017-06-14,30222
2017-06-15,12922
2017-06-16,76869
2017-06-17,44734
2017-06-18,25046
2017-06-19,13998
2017-06-20,58561
2017-06-21,28852
2017-06-22,10598
2017-06-23,32412
2017-06-24,59774
2017-06-25,76796
2017-06-26,81382
2017-06-27,19292
2017-06-28,39933
2017-06-29,48722
2017-06-30,32629
2017-07-01,26800
2017-07-02,69262
2017-07-03,63070
2017-07-04,48932
2017-07-05,20040
2017-07-06,5615
2017-07-07,1828
2017-07-08,34931
2017-07-09,22269
2017-07-10,3458
2017-07-11,18530
2017-07-12,41682
2017-07-13,58156
2017-07-14,13039
2017-07-15,6130
2017-07-16,46860
2017-07-17,48569
2017-07-18,26844
2017-07-19,13780
2017-07-20,29874
2017-07-21,15158
2017-07-22,24960
2017-07-23,34845
2017-07-24,8451
2017-07-25,23943
2017-07-26,6526
2017-07-27,18714
2017-07-28,22190
2017-07-29,47781
2017-07-30,34607
2017-07-31,29306
2017-08-01,6280
2017-08-02,18730
2017-08-03,41873
2017-08-04,72637
2017-08-05,57526
2017-08-06,54566
2017-08-07,30830
2017-08-08,19779
2017-08-09,48415
2017-08-10,22209
2017-08-11,6533
2017-08-12,21698
2017-08-13,50041
2017-08-14,11297
2017-08-15,35699
2017-08-16,9003
2017-08-17,31563
2017-08-18,20930
2017-08-19,42018
2017-08-20,52312
2017-08-21,57419
2017-08-22,23925
2017-08-23,3646
2017-08-24,34059
2017-08-25,43590
2017-08-26,5613
2017-08-27,8143
2017-08-28,6268
2017-08-29,26202
2017-08-30,9139
2017-08-31,24836
2017-09-01,12762
2017-09-02,5220
2017-09-03,3016
2017-09-04,10389
2017-09-05,13727
2017-09-06,27332
2017-09-07,37445
2017-09-08,38864
2017-09-09,9341
2017-09-10,40221
2017-09-11,71051
2017-09-12,60627
2017-09-13,53307
2017-09-14,30948
2017-09-15,31072
2017-09-16,5620
2017-09-17,2736
2017-09-18,1101
2017-09-19,23449
2017-09-20,11529
2017-09-21,4891
2017-09-22,5371
2017-09-23,1699
2017-09-24,12401
2017-09-25,36356
2017-09-26,32711
2017-09-27,42063
2017-09-28,50096
2017-09-29,51850
2017-09-30,65403
2017-10-01,32907
2017-10-02,75147
2017-10-03,74956
2017-10-04,77594
2017-10-05,54440
2017-10-06,50281
2017-10-07,45000
2017-10-08,31449
2017-10-09,16965
2017-10-10,23079
2017-10-11,49749
2017-10-12,89099
2017-10-13,42619
2017-10-14,52314
2017-10-15,37256
2017-10-16,21319
2017-10-17,72315
2017-10-18,22513
2017-10-19,29452
2017-10-20,47840
2017-10-21,37685
2017-10-22,24442
2017-10-23,20608
2017-10-24,50930
2017-10-25,60251
